Budget,Duration_Days,Group_Size,Activity_Intensity,Cultural_Engagement,Relaxation_Level,Adventure_Level,Kids_Count,Travel_Frequency,Age_Group,Season,Preferred_Activity,Secondary_Activity,Accommodation_Type,Transport_Mode,Food_Preference,Traveler_Type,Destination_Region,Destination_Spot
957.7774582665046,11.040383829389812,0.8076027922146737,4.705597339495378,8.327578922333421,3.0713269072422915,5.655600622535486,0.0,1.1598230966796197,Adult,Autumn,Hiking,Nightlife,Hostel,Flight,Vegan,Solo,Oceania,Auckland
2454.791807969822,6.589922357054549,2.388151061146765,5.714046959833951,4.7518211704886415,8.226444215409273,3.1562046206034298,1.4412836266987292,0.0,Adult,Autumn,Beach,Sightseeing,Resort,Car,Non-Veg,Family,Asia,Bali
1779.9909240113632,9.038104752099152,2.9365148423055167,6.748205184337463,8.285547742570222,7.732603177849805,3.85955551331884,0.0,2.867319257149457,Young Adult,Summer,Spa,Shopping,Boutique Hotel,Car,Fine Dining,Couple,Asia,Delhi
2823.1999461785263,2.9626101124096866,1.6288448653577567,4.432198079248489,5.610076425439977,1.9478611035029567,5.091789502001637,0.0,4.0137136150459884,Adult,Autumn,Museum,Nightlife,Hostel,Flight,Mixed,Solo,Oceania,Auckland
1752.791573675788,9.042998933053179,0.7385917149077925,2.557427556768435,5.972234973513649,3.779309877637477,5.648979126714712,0.0,2.3815638726943154,Youth,Spring,Museum,Local Food,Airbnb,Bus,Vegan,Solo,Oceania,Auckland
1750.0079925899763,7.383602753440334,0.8082527412807952,2.6877358025067406,3.13271870833504,1.2043562875193257,6.8807982036827475,0.0,0.45490835791305095,Youth,Summer,Adventure Sports,Photography,Budget Hotel,Flight,Street Food Lover,Solo,Asia,Bangkok
2334.2197079017446,2.381169362830058,1.3688640137129975,8.310688429156757,3.8559610583042168,3.386721752865177,9.399867322356798,0.0,5.141215380933414,Youth,Autumn,Adventure Sports,Local Food,Budget Hotel,Train,Vegan,Solo,Oceania,Sydney
3945.8643086310635,10.883431262233088,5.828744348021861,1.6092995871169562,3.2869767129660312,4.665991805558199,3.1147752710679204,1.1639975920144667,2.0364711173309655,Senior,Winter,Beach,Sightseeing,Resort,Flight,Family Friendly,Family,Americas,New York
1636.4572065399366,10.707502240055845,2.4241590624592755,2.7823475923133296,3.5965141424672376,9.025844450219495,3.038622848681713,0.0,0.0,Senior,Winter,Spa,Dining,Airbnb,Flight,Non-Veg,Couple,Asia,Singapore
969.9840161077789,7.9294120027172434,1.2850582660945606,2.7470529781136888,6.744266142216733,7.747243334416067,6.531720275381521,0.0,4.522119435196893,Young Adult,Summer,Backpacking,Photography,Hostel,Bus,Vegetarian,Solo,Americas,New York
1539.3149943320427,4.120121454556729,0.9289393909507369,3.4383208163290164,10.062220187090297,5.083214397092819,10.615144488620514,0.0,0.6951854086216269,Young Adult,Spring,Adventure Sports,Local Food,Budget Hotel,Bus,Vegetarian,Solo,Oceania,Melbourne
1708.4874562003627,11.23800738346706,2.202337161050033,4.225243071025935,7.159114396031446,3.910241636929036,0.8624219608347846,1.129277910007434,1.8019895014707241,Young Adult,Autumn,Spa,Wine Tasting,Airbnb,Flight,Fine Dining,Couple,Americas,Los Angeles
1407.698830732307,4.886408625915179,1.076929662826902,5.149360549925142,4.416605759755632,4.785495101705899,7.315117866000071,0.0,4.145998305475486,Young Adult,Autumn,Hiking,Photography,Airbnb,Flight,Mixed,Solo,Asia,Phuket
1765.7720975734592,16.488832866005424,3.7859633824010106,4.058093801676157,5.676438547452134,10.965891963840514,2.516881973703601,2.5326410288373062,2.1375414375209774,Senior,Winter,Family Resort,Museum,Hotel,Flight,Family Friendly,Family,Asia,Bali
1132.8457949232452,12.068483327765948,2.1930258580292845,1.4028499863852542,5.141996799956312,5.201968606008328,3.11074955598512,0.0,0.8869070512720904,Senior,Summer,City Tour,Shopping,Hotel,Flight,Mixed,Family,Americas,Los Angeles
1449.1121597116162,7.641519204749161,2.803903528384332,7.1104018062683005,7.299501095373668,6.858927549375117,4.592013245192668,0.0,4.137590850988648,Adult,Spring,City Tour,Wine Tasting,Airbnb,Flight,Non-Veg,Couple,Europe,Prague
1403.2343804704876,10.738536429716357,1.8039858575459815,7.011902221111119,8.47987045311034,8.355744883962096,5.438701371744703,0.0,1.0063481457482244,Adult,Spring,City Tour,Museum,Airbnb,Train,Mixed,Couple,Asia,Tokyo
715.850745557139,5.546433247844761,1.046236322135508,7.461823533675736,4.567724512396546,5.335919639109457,8.329351276145248,0.0,1.772381546667435,Youth,Summer,Adventure Sports,Photography,Airbnb,Train,Street Food Lover,Family,Oceania,Melbourne
1852.0224171958394,19.193612633844282,5.314336231612122,3.481093401575757,2.0916522074690844,4.741222106426493,1.3735071111007184,2.7040634408959088,3.1050761309925567,Adult,Winter,Theme Park,Water Park,Airbnb,Car,Family Friendly,Family,Americas,Cancun
1397.5436967558392,12.77667461292338,1.8324426259898179,2.683136673909277,7.82860659911039,7.946385865685299,7.220255601881433,0.0,0.8143536431820025,Adult,Winter,City Tour,Dining,Airbnb,Train,Non-Veg,Family,Asia,Bangkok
1574.5819006843958,4.141073279844177,1.2122342770201504,8.202843401015395,3.323931327443757,1.550902390511796,13.781911529850879,0.0,6.408744054218535,Adult,Spring,Backpacking,Shopping,Budget Hotel,Flight,Street Food Lover,Solo,Asia,Tokyo
946.3526211318249,6.985077239760262,2.415690287639366,2.622782683773811,6.014739832096106,8.826899306343908,8.323098973044663,0.0,0.0,Young Adult,Summer,Relaxing,Dining,Hotel,Flight,Fine Dining,Couple,Asia,Delhi
5704.774963456514,8.189664869898115,5.7412501487151495,0.8238209373113137,5.157448583513709,12.327238342798653,3.709406562289349,1.9889966905212995,0.0,Senior,Autumn,Theme Park,Water Park,Resort,Train,Family Friendly,Family,Asia,Delhi
1152.766540994467,12.366476230497085,2.3914086731961133,3.457438484248402,5.989561592776355,9.00506625857183,3.0267898151968557,0.0,6.011709367971925,Adult,Winter,Cultural Tour,Shopping,Hotel,Flight,Mixed,Couple,Americas,New York
971.5319054072986,11.77661614243083,0.7365201280222645,7.411563582376958,3.064095796247645,3.2852170662638884,6.401843284635531,0.0,5.282388878885961,Youth,Autumn,Hiking,Local Food,Airbnb,Train,Mixed,Solo,Europe,Paris
1295.0041352238918,6.913255256920178,1.5670676432652262,8.362911218441534,7.623363111768872,4.319656137051234,8.262208523898227,0.0,1.6143367540205078,Adult,Summer,City Tour,Shopping,Hostel,Train,Street Food Lover,Solo,Asia,Phuket
